BuildingId,Id,FloorName,GIA,tableDate
9,14,SB13,393.8800049,31/01/2018
83,333,BL2,379.730011,31/05/2017
56,225,UCB1,1815.300049,31/07/2013
6,83,CE3,866.4699707,31/12/2016
72,269,BS3,1457.400024,31/07/2017
20,99,QSB1,169.6000061,31/03/2017
19,74,R3,344.980011,31/01/2017
75,279,qs2,515.2600098,31/08/2013
75,277,qsg,820.5599976,30/06/2014
78,295,SC1.5,308.8599854,31/07/2015
9,34,CS5,2506,30/09/2015
76,319,JR3,171.5299988,30/04/2017
40,141,LS1,1255,31/05/2013
31,79,T5,1846.180054,31/12/2014
33,52,WG,1636.48999,31/05/2014
76,283,JR5,0,31/08/2013
33,53,W1,1573.719971,31/03/2014
67,248,CAB G,1417.800049,30/09/2012
19,72,R1,1472.339966,31/12/2016
40,140,LSG,1313.609985,31/07/2016
4,45,B2,174.8000031,31/12/2012
72,269,CS3,1457.400024,30/09/2017
78,298,SC4,2816.820068,31/01/2017
75,277,qsg,827.1300049,31/07/2017
2,284,BIC2,1284.900024,30/09/2012
57,221,PSG,624.1199951,30/06/2017
9,15,CS14,263.9299927,30/04/2014
6,124,CE4,870.8200073,30/04/2016
9,11,CS10,811,28/02/2015
31,335,T5 MEZZ,26.19000053,31/03/2018
2,284,BIC2,1284.589966,31/12/2017
31,77,T3,1037.160034,30/09/2015
40,142,LS2,1261.209961,31/12/2015
86,337,JPRG,0,31/01/2017
76,281,JR1,0,31/03/2015
81,317,BH1,296.019989,31/07/2017
31,185,TC,605.5599976,31/01/2014
69,258,RH 1,375.6700134,31/01/2014
31,79,T5,1846.180054,31/10/2014
7,31,CW4,894,31/05/2012
6,81,CE1,815.4699707,31/08/2015
2,4,BIC1,1257.069946,30/04/2013
19,73,R2,1296.900024,30/04/2012
9,9,SB8,873,30/06/2016
84,324,OA5,0,31/12/2016
7,203,CWB,692.960022,30/04/2014
6,82,CE2,855.7299805,31/01/2015
37,117,HW2,1177.880005,30/06/2014
6,83,CE3,861.5,31/08/2012
72,266,BSG,2437.110107,28/02/2013
9,26,CS2,3350,31/10/2012
75,279,qs2,515.2600098,30/06/2015
57,219,PS1,696.0700073,31/12/2017
57,223,MB3,259.2999878,31/03/2013
81,317,BH1,296.019989,31/03/2017
9,10,SB9,811,30/09/2016
19,71,RG,2027.099976,30/04/2012
85,331,JP3,1998.170044,31/01/2017
2,4,BIC1,1257.069946,31/05/2015
81,317,BH1,295.9200134,31/12/2014
31,185,TC,581.5,30/09/2017
72,267,BS1,2126.060059,31/12/2014
7,29,CW2,982.4000244,29/02/2012
