SpaceId,FloorId,SpaceLabel,Area,UsageId,Capacity,ExamCapacity,SurfaceId,SurfaceType,DepartmentId,ConditionId,ConditionName,AccessTypeId,AccessType,ShowerCubicles,SpaceNotes,Tiered,DisabledAccess,AvProjectionOrPc,LeasedOut,LeasedIn,TimeTableRoom,LectureCapture,AttendanceMonitoring,HearingLoop,LastMeasured,DepartmentName,AsasId,AsasName,AsasRef,SectorId,SectorName,AcadYear,AsasNotes,usageName,SubUsage,SpaceType,HefceId,SpecialistTeaching,SpecialistResearch,teachingSpace,SpaceGroup,HefceCode,ShortDefinition,FullDefinition,Sort,FloorBuildingRef,BuildingId,GrossInternalArea,FloorNotes,BuildingName,BuildingRef,SiteID,PlanonZoneId,PlanonZoneName,Zone,BuiltDate,SiteName,SiteRef,tableDate
9449,227,UCB3/13,58.25,1,32,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB3,56,1259.19995117188,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9444,227,UCB3/05,43.45,1,24,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB3,56,1259.19995117188,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9445,227,UCB3/06,65.91,1,30,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB3,56,1259.19995117188,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9458,227,UCB3/20,51.87,1,30,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB3,56,1259.19995117188,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9978,254,UCON2/04C,7.23,1,4,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON2,68,544.210021972656,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
10001,255,UCON3/04,84.07,1,30,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON3,68,544.659973144531,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
10004,255,UCON3/06,80.07,1,48,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON3,68,544.659973144531,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
9428,226,UCB2/11,57.61,1,42,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,0,0,0,NULL,NULL,NULL,NULL,2011-12-16 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB2,56,1453.80004882813,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9419,226,UCB2/04,65.35,1,50,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB2,56,1453.80004882813,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9422,226,UCB2/05,43.06,1,5,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB2,56,1453.80004882813,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9946,253,UCON1/02,80.95,1,45,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON1,68,542.200012207031,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
9968,254,UCON2/01,79.84,1,24,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON2,68,544.210021972656,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
9971,254,UCON2/03,80.95,1,26,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON2,68,544.210021972656,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
9973,254,UCON2/04,54.84,1,10,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON2,68,544.210021972656,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
9976,254,UCON2/04A,9.88,1,4,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON2,68,544.210021972656,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
9977,254,UCON2/04B,9.25,1,4,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON2,68,544.210021972656,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
9292,232,S2/3,64.96,1,30,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,0,1,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCOS,55,700.5,20/08/07,UCO OLD,UCO,8,NULL,NULL,3A,NULL,OLDHAM,UCOm,2012-1-31
9294,232,S2/4,50.74,1,30,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,0,1,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCOS,55,700.5,20/08/07,UCO OLD,UCO,8,NULL,NULL,3A,NULL,OLDHAM,UCOm,2012-1-31
9322,233,S3/2,35.85,1,12,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,1,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCOT,55,1218.59997558594,20/08/07,UCO OLD,UCO,8,NULL,NULL,3A,NULL,OLDHAM,UCOm,2012-1-31
9323,233,S3/2A,35.68,1,12,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,1,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCOT,55,1218.59997558594,20/08/07,UCO OLD,UCO,8,NULL,NULL,3A,NULL,OLDHAM,UCOm,2012-1-31
9328,233,S3/7,37.27,1,16,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,1,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCOT,55,1218.59997558594,20/08/07,UCO OLD,UCO,8,NULL,NULL,3A,NULL,OLDHAM,UCOm,2012-1-31
9944,253,UCON1/01,64.69,1,35,NULL,520,SOFT,179,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCO,49,UNIVERSITY CAMPUS OLDHAM,UCOL,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCON1,68,542.200012207031,WDC QUICK POLYLINE,UCO NEW,OLN,8,NULL,NULL,3B,2008-09-01 00:00:00.000,OLDHAM,UCOm,2012-1-31
10504,267,bs1/07,83.54,1,60,NULL,520,SOFT,7,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2010-09-22 00:00:00.000,COMMON - TBS,31,THE BUSINESS SCHOOL,hubs,1,SCHOOL,8,CHANGED TO THE BUSINESS SCHOOL JULY 2008,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,BS1,72,1911.47998046875,NULL,THE BUSINESS SCHOOL,TBS,1,NULL,NULL,1A,2010-07-01 00:00:00.000,QUEENSGATE,Qgte,2012-1-31
10705,269,BS3/28,97.85,1,50,NULL,520,SOFT,109,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2010-09-22 00:00:00.000,LAW,31,THE BUSINESS SCHOOL,hubs,1,SCHOOL,8,CHANGED TO THE BUSINESS SCHOOL JULY 2008,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,BS3,72,1460.63000488281,NULL,THE BUSINESS SCHOOL,TBS,1,NULL,NULL,1A,2010-07-01 00:00:00.000,QUEENSGATE,Qgte,2012-1-31
