6,124,CE4,870.580017089844,2013-10-31
6,83,CE3,866.130004882813,2013-5-31
20,285,QSBB,40.2700004577637,2016-9-30
20,290,EBG MEZ,0,2013-8-31
40,141,LS1,1265.86999511719,2015-12-31
85,328,JPG,3041.47998046875,2017-4-30
37,293,HW4,202.919998168945,2013-11-30
71,261,EKG,258.220001220703,2018-5-31
86,338,JPR1,0,2017-10-31
69,259,RH 2,331.200012207031,2017-7-31
86,338,JPR1,0,2018-4-30
7,27,CWG,2404.72998046875,2015-2-28
32,46,XB,1443.5,2014-9-30
79,303,PHG,67.2099990844727,2015-5-31
9,12,CS11,393.880004882813,2015-11-30
67,251,CAB 3,1036.90002441406,2012-6-30
57,219,PS1,696.070007324219,2016-11-30
78,297,SC3,3088.67993164063,2015-11-30
85,329,JP1,2984.64990234375,2017-5-31
40,140,LSG,1313.60998535156,2016-5-31
24,103,PLG,585.299987792969,2014-6-30
67,249,CAB 1,1502.94995117188,2015-9-30
32,47,XG,1411.93005371094,2016-6-30
79,302,PHB,26.9099998474121,2015-1-31
84,324,OA5,1034.76000976563,2017-11-30
9,11,SB10,811,2017-5-31
37,117,HW2,1162.41003417969,2018-5-31
9,12,CS11,393.880004882813,2015-1-31
67,250,CAB 2,1686.57995605469,2015-1-31
52,210,JM2,353.850006103516,2015-9-30
52,210,JM2,366,2012-11-30
67,251,CAB 3,1012.40002441406,2014-1-31
7,31,CW4,894,2012-2-29
9,14,SB13,393.880004882813,2018-1-31
83,333,BL2,379.730010986328,2017-5-31
56,225,UCB1,1815.30004882813,2013-7-31
6,83,CE3,866.469970703125,2016-12-31
72,269,BS3,1457.40002441406,2017-7-31
20,99,QSB1,169.600006103516,2017-3-31
19,74,R3,344.980010986328,2017-1-31
75,279,qs2,515.260009765625,2013-8-31
75,277,qsg,820.559997558594,2014-6-30
78,295,SC1.5,308.859985351563,2015-7-31
9,34,CS5,2506,2015-9-30
76,319,JR3,171.529998779297,2017-4-30
40,141,LS1,1255,2013-5-31
31,79,T5,1846.18005371094,2014-12-31
33,52,WG,1636.48999023438,2014-5-31
76,283,JR5,0,2013-8-31
33,53,W1,1573.71997070313,2014-3-31
67,248,CAB G,1417.80004882813,2012-9-30
19,72,R1,1472.33996582031,2016-12-31
40,140,LSG,1313.60998535156,2016-7-31
4,45,B2,174.800003051758,2012-12-31
72,269,CS3,1457.40002441406,2017-9-30
